"state","obesity","intersection_density","transit_stops","employment_mix","employment_and_household","walkability_index","walkability_category"
"AK",29.8,9.74515235457064,8.26315789473684,9.77839335180055,9.65096952908587,9.2409972299169,"below average walkable"
"AL",35.6,7.5328172332548,3.6553349040727,9.80511612251767,10.6529787950185,7.13906653203186,"below average walkable"
"AR",34.5,7.82807668521954,2.76808905380334,10.6747062461348,10.8113790970934,7.11306947021233,"below average walkable"
"AZ",28.4,12.2897630100171,8.9105790373809,9.67163449792328,9.28218910334718,10.2257512826777,"below average walkable"
"CA",24.2,13.4739225076186,12.3532433609055,11.2232477144101,10.8008707009142,12.2797416920621,"above average walkable"
"CO",20.2,12.8490914690484,8.93193717277487,11.3042808746535,10.2436094856791,10.8516579406632,"above average walkable"
"CT",25.3,9.48057669203044,10.0917100520625,11.1790148177813,10.8870644773728,10.20177546389,"below average walkable"
"DE",29.7,6.47222222222222,7.34722222222222,11.0694444444444,10.9861111111111,8.28240740740741,"below average walkable"
"FL",26.8,11.5708035714286,9.30982142857143,11.3071428571429,10.4391071428571,10.5845833333333,"above average walkable"
"GA",30.7,8.34641300039635,4.30618311533888,10.8701942132382,10.8493856520016,7.83746201611838,"below average walkable"
"HI",22.7,10.0332187857961,10.254295532646,9.91752577319588,9.53837342497136,10.0051546391753,"below average walkable"
"IA",32.1,9.35533780299123,5.96854048478597,11.0237235688499,11.7931923671996,8.91077875193399,"below average walkable"
"ID",28.6,9.36919315403423,3.64425427872861,12.1369193154034,12.2102689486553,8.39568052159739,"below average walkable"
"IL",30.8,13.0162638355546,9.81251411791281,9.58210978088999,9.98204201490852,10.8702846171222,"above average walkable"
"IN",31.3,9.65955745134631,4.33404425486537,9.4910690482538,10.8187150093308,8.049497911668,"below average walkable"
"KS",34.2,10.4579071597168,5.47049567269866,9.97010228166798,10.831628638867,8.77642276422764,"below average walkable"
"KY",34.6,8.42443438914027,5.42533936651584,10.1904977375566,10.1570135746606,8.0078431372549,"below average walkable"
"LA",36.2,9.73450770682605,3.83925762818496,9.90909090909091,10.2849952815351,7.89026947677467,"below average walkable"
"MA",24.3,11.9188640973631,10.8882352941176,11.4539553752535,10.7350912778905,11.3005409060176,"above average walkable"
"MD",28.9,11.1455671699574,8.93224932249323,10.1467286101432,10.3921796360821,10.1157568718544,"below average walkable"
"ME",30,7.63001485884101,3.32243684992571,13.1991084695394,11.7711738484398,7.81253095591877,"below average walkable"
"MI",31.2,10.1933731667572,5.01262900597501,9.49538294405215,9.73451928299837,8.27365109541916,"below average walkable"
"MN",26.1,10.1890616324264,7.94031093836757,10.6127151582454,11.124097723487,9.66592633722006,"below average walkable"
